Plot,Ind.,pct_brown,dead_limbs,total_limbs,char_ht_cm,ht2_cm,tree_id,pct_dead_limbs,water_trt,veg_trt,alive,dead,survival,probe_ht,avg_max_temp,avg_s_abv_100,avg_heat_flux100,Treatment,avg_dry_wt,avg_fuel_moisture,avg_fuel_ht_cm,avg_litter_depth_cm,avg_flameht_cm
10,E,1,0,10,50,280,22,0,Ambient,Reference,1,0,1,25cm,129.64266666666668,101.5,13570.835,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,E,1,0,10,50,280,22,0,Ambient,Reference,1,0,1,0cm,304.8313333333333,120,25741.965,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,H,1,0,13,46,475,23,0,Ambient,Reference,1,0,1,50cm,123.09866666666667,32.5,3873.865,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,H,1,0,13,46,475,23,0,Ambient,Reference,1,0,1,25cm,129.64266666666668,101.5,13570.835,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,H,1,0,13,46,475,23,0,Ambient,Reference,1,0,1,0cm,304.8313333333333,120,25741.965,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,I,5,0,6,40,265,24,0,Ambient,Reference,1,0,1,50cm,123.09866666666667,32.5,3873.865,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,I,5,0,6,40,265,24,0,Ambient,Reference,1,0,1,25cm,129.64266666666668,101.5,13570.835,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,I,5,0,6,40,265,24,0,Ambient,Reference,1,0,1,0cm,304.8313333333333,120,25741.965,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,K,1,0,11,85,273,25,0,Ambient,Reference,1,0,1,50cm,123.09866666666667,32.5,3873.865,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,K,1,0,11,85,273,25,0,Ambient,Reference,1,0,1,25cm,129.64266666666668,101.5,13570.835,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,K,1,0,11,85,273,25,0,Ambient,Reference,1,0,1,0cm,304.8313333333333,120,25741.965,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,P,1,0,12,50,558,26,0,Ambient,Reference,1,0,1,50cm,123.09866666666667,32.5,3873.865,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,P,1,0,12,50,558,26,0,Ambient,Reference,1,0,1,25cm,129.64266666666668,101.5,13570.835,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
10,P,1,0,12,50,558,26,0,Ambient,Reference,1,0,1,0cm,304.8313333333333,120,25741.965,AN,34.07,16.384139466654254,20.22222222222222,1.1111111111111112,12.5
11,O,99,2,3,188,245,27,66.66666666666667,Drought,Invaded,1,0,1,50cm,521.1693333333334,82.66666666666667,26007.676666666666,DC,57.57333333333334,16.595440169961044,38,2.388888888888889,212.16666666666666
11,O,99,2,3,188,245,27,66.66666666666667,Drought,Invaded,1,0,1,25cm,282.45933333333335,161,51454.79,DC,57.57333333333334,16.595440169961044,38,2.388888888888889,212.16666666666666
11,O,99,2,3,188,245,27,66.66666666666667,Drought,Invaded,1,0,1,0cm,305.2273333333333,89,23718.850000000002,DC,57.57333333333334,16.595440169961044,38,2.388888888888889,212.16666666666666
12,E,98,6,6,157,220,28,100,Ambient,Invaded,0,1,0,50cm,350.6166666666667,90,19551.896666666667,AC,73.25999999999999,17.016272347746593,36.55555555555556,6.666666666666666,186
12,E,98,6,6,157,220,28,100,Ambient,Invaded,0,1,0,25cm,533.5833333333334,104.66666666666667,29716.93,AC,73.25999999999999,17.016272347746593,36.55555555555556,6.666666666666666,186
12,E,98,6,6,157,220,28,100,Ambient,Invaded,0,1,0,0cm,532.0306666666667,133.33333333333334,36890.81333333333,AC,73.25999999999999,17.016272347746593,36.55555555555556,6.666666666666666,186
14,B,99,11,11,230,350,29,100,Drought,Invaded,0,1,0,50cm,694.472,94.66666666666667,34980.799999999996,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,B,99,11,11,230,350,29,100,Drought,Invaded,0,1,0,25cm,675.94,95,31835.663333333334,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,B,99,11,11,230,350,29,100,Drought,Invaded,0,1,0,0cm,681.1213333333334,93.66666666666667,34884.630000000005,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,D,99,5,5,330,426,30,100,Drought,Invaded,0,1,0,50cm,694.472,94.66666666666667,34980.799999999996,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,D,99,5,5,330,426,30,100,Drought,Invaded,0,1,0,25cm,675.94,95,31835.663333333334,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,D,99,5,5,330,426,30,100,Drought,Invaded,0,1,0,0cm,681.1213333333334,93.66666666666667,34884.630000000005,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,E,75,7,10,312,454,31,70,Drought,Invaded,1,0,1,50cm,694.472,94.66666666666667,34980.799999999996,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,E,75,7,10,312,454,31,70,Drought,Invaded,1,0,1,25cm,675.94,95,31835.663333333334,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,E,75,7,10,312,454,31,70,Drought,Invaded,1,0,1,0cm,681.1213333333334,93.66666666666667,34884.630000000005,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,K,98,1,1,78,78,32,100,Drought,Invaded,0,1,0,50cm,694.472,94.66666666666667,34980.799999999996,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,K,98,1,1,78,78,32,100,Drought,Invaded,0,1,0,25cm,675.94,95,31835.663333333334,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,K,98,1,1,78,78,32,100,Drought,Invaded,0,1,0,0cm,681.1213333333334,93.66666666666667,34884.630000000005,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,T,95,4,4,160,202,33,100,Drought,Invaded,0,1,0,50cm,694.472,94.66666666666667,34980.799999999996,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,T,95,4,4,160,202,33,100,Drought,Invaded,0,1,0,25cm,675.94,95,31835.663333333334,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
14,T,95,4,4,160,202,33,100,Drought,Invaded,0,1,0,0cm,681.1213333333334,93.66666666666667,34884.630000000005,DC,118.24666666666667,15.161464269820764,50.666666666666664,4.5,207.83333333333334
15,F,5,0,3,41,118,34,0,Ambient,Reference,1,0,1,50cm,136.20466666666667,82,10580.96,AN,35.61,19.747297766152105,13,1.0555555555555556,18.666666666666668
15,F,5,0,3,41,118,34,0,Ambient,Reference,1,0,1,25cm,536.7513333333334,155.66666666666666,36527.183333333334,AN,35.61,19.747297766152105,13,1.0555555555555556,18.666666666666668
15,F,5,0,3,41,118,34,0,Ambient,Reference,1,0,1,0cm,410.4033333333333,177,46453.335,AN,35.61,19.747297766152105,13,1.0555555555555556,18.666666666666668
15,I,5,0,1,71,138,35,0,Ambient,Reference,1,0,1,50cm,136.20466666666667,82,10580.96,AN,35.61,19.747297766152105,13,1.0555555555555556,18.666666666666668
15,I,5,0,1,71,138,35,0,Ambient,Reference,1,0,1,25cm,536.7513333333334,155.66666666666666,36527.183333333334,AN,35.61,19.747297766152105,13,1.0555555555555556,18.666666666666668
15,I,5,0,1,71,138,35,0,Ambient,Reference,1,0,1,0cm,410.4033333333333,177,46453.335,AN,35.61,19.747297766152105,13,1.0555555555555556,18.666666666666668
15,O,97,2,2,92,129,36,100,Ambient,Reference,0,1,0,50cm,136.20466666666667,82,10580.96,AN,35.61,19.747297766152105,13,1.0555555555555556,18.666666666666668
15,O,97,2,2,92,129,36,100,Ambient,Reference,0,1,0,25cm,536.7513333333334,155.66666666666666,36527.183333333334,AN,35.61,19.747297766152105,13,1.0555555555555556,18.666666666666668
15,O,97,2,2,92,129,36,100,Ambient,Reference,0,1,0,0cm,410.4033333333333,177,46453.335,AN,35.61,19.747297766152105,13,1.0555555555555556,18.666666666666668
16,E,5,1,10,65,365,37,10,Drought,Reference,1,0,1,50cm,179.84866666666665,59,11155.09,DN,44.86666666666667,26.096900151559833,18.666666666666668,1,35
16,E,5,1,10,65,365,37,10,Drought,Reference,1,0,1,25cm,304.8686666666667,63,14348.543333333333,DN,44.86666666666667,26.096900151559833,18.666666666666668,1,35
16,E,5,1,10,65,365,37,10,Drought,Reference,1,0,1,0cm,455.3733333333333,115,35410.35,DN,44.86666666666667,26.096900151559833,18.666666666666668,1,35
17,A,15,1,11,65,445,38,9.090909090909092,Drought,Reference,1,0,1,50cm,347.9546666666667,95,18940.5,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,A,15,1,11,65,445,38,9.090909090909092,Drought,Reference,1,0,1,25cm,584.3066666666667,105,32003.06333333333,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,A,15,1,11,65,445,38,9.090909090909092,Drought,Reference,1,0,1,0cm,537.958,154.66666666666666,41153.596666666665,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,B,10,1,12,144,605,39,8.333333333333334,Drought,Reference,1,0,1,50cm,347.9546666666667,95,18940.5,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
